TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
354912,tt2380307,movie,Coco,2017-10-27T00:00:00Z,,,8.198,,2025-03-04T10:41:26Z
10328,tt0088933,movie,Cocoon,1985-06-21T00:00:00Z,,,6.628,,2025-03-04T10:41:37Z
873,tt1466074,tv,Columbo,1971-09-15T00:00:00Z,,,8.084,,2025-03-04T10:41:49Z
9602,tt0094898,movie,Coming to America,1988-06-29T00:00:00Z,,,6.879,,2025-03-04T10:42:00Z
686,tt0118884,movie,Contact,1997-07-11T00:00:00Z,,,7.438,,2025-03-04T10:42:11Z
11894,tt0101635,movie,Curly Sue,1991-10-25T00:00:00Z,,,6.375,,2025-03-04T10:42:24Z
15709,tt1275590,movie,De l'autre côté du lit,2009-01-07T00:00:00Z,,,5.391,,2025-03-04T10:42:44Z
293660,tt1431045,movie,Deadpool,2016-02-09T00:00:00Z,,,7.622,,2025-03-04T10:42:55Z
146239,tt2387559,movie,Delivery Man,2013-10-10T00:00:00Z,,,6.247,,2025-03-04T10:43:06Z
562,tt0095016,movie,Die Hard,1988-07-15T00:00:00Z,,,7.806,,2025-03-04T10:43:42Z
1572,tt0112864,movie,Die Hard: With a Vengeance,1995-05-19T00:00:00Z,,,7.276,,2025-03-04T10:43:53Z
73021,tt5363918,tv,Disenchantment,2018-08-17T00:00:00Z,,,7.415,,2025-03-04T10:44:04Z
17654,tt1136608,movie,District 9,2009-08-05T00:00:00Z,,,7.461,,2025-03-04T10:44:16Z
57243,tt0436992,tv,Doctor Who,2005-03-26T00:00:00Z,,,7.591,,2025-03-04T10:44:33Z
646380,tt11286314,movie,Don't Look Up,2021-12-08T00:00:00Z,,,7.062,,2025-03-04T10:44:45Z
130372,tt12225230,tv,"Doogie Kamealoha, M.D.",2021-09-08T00:00:00Z,,,7.754,,2025-03-04T10:45:03Z
8467,tt0109686,movie,Dumb and Dumber,1994-12-16T00:00:00Z,,,6.646,,2025-03-04T10:45:15Z
319888,tt1083452,movie,Eddie the Eagle,2016-02-25T00:00:00Z,,,7.169,,2025-03-04T10:45:28Z
137113,tt1631867,movie,Edge of Tomorrow,2014-05-27T00:00:00Z,,,7.633,,2025-03-04T10:45:41Z
10719,tt0319343,movie,Elf,2003-11-07T00:00:00Z,,,6.664,,2025-03-04T10:45:52Z
14442,tt0327679,movie,Ella Enchanted,2004-04-09T00:00:00Z,,,6.477,,2025-03-04T10:46:06Z
11864,tt0089092,movie,Enemy Mine,1985-12-12T00:00:00Z,,,6.94,,2025-03-04T10:46:19Z
7299,tt0238380,movie,Equilibrium,2002-12-06T00:00:00Z,,,7.045,,2025-03-04T10:46:31Z
545611,tt6710474,movie,Everything Everywhere All at Once,2022-03-24T00:00:00Z,,,7.72,,2025-03-04T10:46:50Z
264660,tt0470752,movie,Ex Machina,2015-01-21T00:00:00Z,,,7.573,,2025-03-04T10:47:02Z
833097,tt14715170,movie,Falling for Christmas,2022-11-10T00:00:00Z,,,6.214,,2025-03-04T10:47:12Z
1434,tt0182576,tv,Family Guy,1999-01-31T00:00:00Z,,,7.39,,2025-03-04T10:47:23Z
798021,tt14227048,movie,Family Switch,2023-11-30T00:00:00Z,,,6.398,,2025-03-04T10:47:34Z
550,tt0137523,movie,Fight Club,1999-10-15T00:00:00Z,,,8.438,,2025-03-04T10:47:55Z
445629,tt6513120,movie,Fighting with My Family,2019-02-14T00:00:00Z,,,6.845,,2025-03-04T10:48:24Z
127380,tt2277860,movie,Finding Dory,2016-06-16T00:00:00Z,,,7.037,,2025-03-04T10:48:40Z
12,tt0266543,movie,Finding Nemo,2003-05-30T00:00:00Z,,,7.817,,2025-03-04T10:48:53Z
10122,tt0091059,movie,Flight of the Navigator,1986-07-30T00:00:00Z,,,6.947,,2025-03-04T10:49:04Z
359724,tt1950186,movie,Ford v Ferrari,2019-11-13T00:00:00Z,,,8.004,,2025-03-04T10:49:21Z
13,tt0109830,movie,Forrest Gump,1994-06-23T00:00:00Z,,,8.462,,2025-03-04T10:49:35Z
10330,tt0322330,movie,Freaky Friday,2003-08-05T00:00:00Z,,,6.577,,2025-03-04T11:00:47Z
550988,tt6264654,movie,Free Guy,2021-08-11T00:00:00Z,,,7.456,,2025-03-04T11:01:33Z
1668,tt0108778,tv,Friends,1994-09-22T00:00:00Z,,,8.415,,2025-03-04T11:01:48Z
63193,tt1292594,movie,Front of the Class,2008-12-07T00:00:00Z,,,7.927,,2025-03-04T11:02:21Z
109445,tt2294629,movie,Frozen,2013-11-20T00:00:00Z,,,7.248,,2025-03-04T11:02:34Z
7552,tt0369441,movie,Fun with Dick and Jane,2005-12-21T00:00:00Z,,,6.217,,2025-03-04T11:02:50Z
615,tt0149460,tv,Futurama,1999-03-28T00:00:00Z,,,8.368,,2025-03-04T11:03:09Z
1189198,tt24429218,movie,Genie,2023-11-22T00:00:00Z,,,6.546,,2025-03-04T11:03:22Z
257091,tt2561572,movie,Get Hard,2015-03-26T00:00:00Z,,,6.023,,2025-03-04T11:03:54Z
620,tt0087332,movie,Ghostbusters,1984-06-08T00:00:00Z,,,7.495,,2025-03-04T11:04:06Z
43074,tt1289401,movie,Ghostbusters,2016-07-14T00:00:00Z,,,5.345,,2025-03-04T11:04:19Z
2978,tt0097428,movie,Ghostbusters II,1989-06-16T00:00:00Z,,,6.595,,2025-03-04T11:04:32Z
400928,tt4481414,movie,Gifted,2017-04-07T00:00:00Z,,,7.999,,2025-03-04T11:04:44Z
662546,tt11681250,movie,Godmothered,2020-12-04T00:00:00Z,,,6.718,,2025-03-04T11:23:41Z
9679,tt0187078,movie,Gone in Sixty Seconds,2000-06-09T00:00:00Z,,,6.449,,2025-03-04T11:24:12Z
385281,"",movie,Gravity Falls: Six Strange Tales,2013-10-15T00:00:00Z,,,8.273,,2025-03-04T11:24:35Z
137,tt0107048,movie,Groundhog Day,1993-02-11T00:00:00Z,,,7.624,,2025-03-04T11:24:49Z
118340,tt2015381,movie,Guardians of the Galaxy,2014-07-30T00:00:00Z,,,7.905,,2025-03-04T11:25:15Z
447365,tt6791350,movie,Guardians of the Galaxy Vol. 3,2023-05-03T00:00:00Z,,,7.926,,2025-03-04T11:25:29Z
6472,tt0109951,movie,Guarding Tess,1994-03-11T00:00:00Z,,,5.994,,2025-03-04T11:25:44Z
10428,tt0113243,movie,Hackers,1995-09-14T00:00:00Z,,,6.376,,2025-03-04T11:25:56Z
8960,tt0448157,movie,Hancock,2008-07-01T00:00:00Z,,,6.351,,2025-03-04T11:26:06Z
9614,tt0116483,movie,Happy Gilmore,1996-02-16T00:00:00Z,,,6.668,,2025-03-04T11:26:19Z
4615,tt0111999,tv,Hercules: The Legendary Journeys,1995-01-29T00:00:00Z,,,6.958,,2025-03-04T11:26:32Z
87826,tt1648179,movie,Here Comes the Boom,2012-10-10T00:00:00Z,,,6.217,,2025-03-04T11:26:46Z
17710,tt0314166,movie,Hey Arnold! The Movie,2002-06-28T00:00:00Z,,,6.482,,2025-03-04T11:28:22Z
381284,tt4846340,movie,Hidden Figures,2016-12-10T00:00:00Z,,,8.047,,2025-03-04T11:28:51Z
226637,tt22091076,tv,High Potential,2024-09-17T00:00:00Z,,,8.017,,2025-03-04T11:29:08Z
615665,tt9866072,movie,Holidate,2020-10-27T00:00:00Z,,,6.978,,2025-03-04T11:29:20Z
134375,tt2308733,movie,Home Alone: The Holiday Heist,2012-12-03T00:00:00Z,,,5.093,,2025-03-04T11:29:47Z
772,tt0104431,movie,Home Alone 2: Lost in New York,1992-11-15T00:00:00Z,,,6.779,,2025-03-04T11:30:01Z
9714,tt0119303,movie,Home Alone 3,1997-12-12T00:00:00Z,,,5.273,,2025-03-04T11:30:11Z
771,tt0099785,movie,Home Alone,1990-11-16T00:00:00Z,,,7.46,,2025-03-04T11:30:19Z
4638,tt0425112,movie,Hot Fuzz,2007-02-14T00:00:00Z,,,7.562,,2025-03-04T11:30:32Z
1408,tt0412142,tv,House,2004-11-16T00:00:00Z,,,8.576,,2025-03-04T11:30:42Z
8871,tt0170016,movie,How the Grinch Stole Christmas,2000-11-17T00:00:00Z,,,6.784,,2025-03-04T11:31:04Z
460668,tt6791096,movie,I Feel Pretty,2018-04-19T00:00:00Z,,,6.382,,2025-03-04T11:31:20Z
3563,tt0762107,movie,I Now Pronounce You Chuck & Larry,2007-07-12T00:00:00Z,,,6.083,,2025-03-04T11:31:32Z
2048,tt0343818,movie,"I, Robot",2004-07-15T00:00:00Z,,,6.96,,2025-03-04T11:31:48Z
11777,tt0110099,movie,I.Q.,1994-12-24T00:00:00Z,,,6.016,,2025-03-04T11:32:00Z
425,tt0268380,movie,Ice Age,2002-03-14T00:00:00Z,,,7.368,,2025-03-04T11:32:21Z
65704,tt3532050,tv,Idiotsitter,2016-01-14T00:00:00Z,,,5.972,,2025-03-04T11:32:53Z
27205,tt1375666,movie,Inception,2010-07-15T00:00:00Z,,,8.37,,2025-03-04T11:33:04Z
602,tt0116629,movie,Independence Day,1996-06-25T00:00:00Z,,,6.899,,2025-03-04T11:33:16Z
150540,tt2096673,movie,Inside Out,2015-06-17T00:00:00Z,,,7.909,,2025-03-04T11:33:35Z
491418,tt7401588,movie,Instant Family,2018-11-13T00:00:00Z,,,7.502,,2025-03-04T11:33:47Z
157336,tt0816692,movie,Interstellar,2014-11-05T00:00:00Z,,,8.467,,2025-03-04T11:33:58Z
1726,tt0371746,movie,Iron Man,2008-04-30T00:00:00Z,,,7.655,,2025-03-04T11:34:08Z
33689,tt0113442,movie,It Takes Two,1995-11-17T00:00:00Z,,,6.498,,2025-03-04T11:34:26Z
